Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
530265,Sainik Finance and Industries Ltd,SAINIK,SAINIK FINANCE & INDUSTRIES LTD.,Active,X ,10.00,INE584B01013,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
530267,Saboo Brothers Ltd.,SABOOBR,SABOO BROTHERS LTD.,Active,XT,10.00,INE021N01011,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,
530271,Rich Universe Network Ltd,RICHUNV,RICH UNIVERSE NETWORK LTD.,Active,X ,10.00,INE652D01014,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530281,Quantum Digital Vision (India) Ltd.,QUANTDIA,QUANTUM DIGITAL VISION (INDIA) LTD.,Active,XT,10.00,INE373C01019,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
530289,S.P.Capital Financing Ltd.,SPCAPIT,SP CAPITAL FINANCING LTD.,Active,X ,10.00,INE102F01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
530291,PAOS INDUSTRIES LIMITED,PAOS,Paos Industries Ltd,Active,X ,10.00,INE791C01012,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,
530299,Kothari Products Ltd.,KOTHARIPRO,KOTHARI PRODUCTS LTD.,Active,B ,10.00,INE823A01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
530305,Piccadily Agro Industries ltd.,PICCADIL,PICCADILY AGRO INDUSTRIES LTD.,Active,X ,10.00,INE546C01010,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,
530307,Chaman Lal Setia Exports Ltd.,CHAMANSEQ,CHAMAN LAL SETIA EXPORTS LTD.-$,Active,B ,2.00,INE419D01026,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,
530309,Chandra Prabhu International Ltd.,CHANDRAP,CHANDRA PRABHU INTERNATIONAL LTD.-$,Active,X ,2.00,INE368D01025,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
530313,KIMIA BIOSCIENCES LIMITED,KIMIABL,Kimia Biosciences Ltd,Active,X ,1.00,INE285U01025,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
530315,Hindustan Tin Works Ltd.,HINDTIN,HINDUSTAN TIN WORKS LTD.-$,Active,X ,10.00,INE428D01019,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
530317,Godavari Drugs Ltd.,GODAVARI,GODAVARI DRUGS LTD.,Active,X ,10.00,INE362C01012,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
530331,Premco Global Ltd.,PREMCO,PREMCO GLOBAL LTD.-$,Active,X ,10.00,INE001E01012,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
530341,Mukesh Babu Financial Services Ltd.,MUKESHB,MUKESH BABU FINANCIAL SERVICES LTD.,Active,X ,10.00,INE596B01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530343,Genus Power Infrastructures Ltd,GENUSPOWER,GENUS POWER INFRASTRUCTURES LTD.-$,Active,A ,1.00,INE955D01029,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,
530355,ASIAN ENERGY SERVICES LTD,ASIANENE,Asian Energy Services Ltd,Active,B ,10.00,INE276G01015,Oil Equipment & Services,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services,
530357,KBS INDIA LIMITED,KBSINDIA,KBS INDIA LIMITED,Active,XT,10.00,INE883D01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
530361,PRABHHANS INDUSTRIES LIMITED,PRABHHANS,Prabhhans Industries Ltd,Active,X ,10.00,INE428P01013,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
530363,Ugar Sugar Works Ltd.,UGARSUGAR,UGAR SUGAR WORKS LTD.-$,Active,B ,1.00,INE071E01023,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,
530365,Orient Bell Limited,ORIENTBELL,ORIENT BELL LIMITED-$,Active,B ,10.00,INE607D01018,Ceramics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,
530367,NRB Bearings Ltd.,NRBBEARING,NRB BEARINGS LTD.,Active,B ,2.00,INE349A01021,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
530369,Vamshi Rubber Ltd.,VAMSHIRU,VAMSHI RUBBER LTD.,Active,X ,10.00,INE380C01014,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
530377,Nila Infrastructures Ltd,NILA,NILA INFRASTRUCTURES LTD.,Active,B ,1.00,INE937C01029,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
530393,DB(INTERNATIONAL)Stock Brokers Ltd,DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKERS LTD.,Active,B ,2.00,INE921B01025,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,
530401,Vinyoflex Ltd.,VINYOFL,VINYOFLEX LTD.,Active,XT,10.00,INE526H01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
530405,Jindal Capital Ltd.,JINDCAP,JINDAL CAPITAL LTD.,Active,X ,10.00,INE356F01017,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
530407,EPIC Energy Ltd.,EPIC,EPIC ENERGY LTD.-$,Active,X ,10.00,INE932F01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530419,Sumedha Fiscal Services Ltd.,SUMEDHA,SUMEDHA FISCAL SERVICES LTD.,Active,XT,10.00,INE886B01012,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
530421,Kuwer Industries Ltd.,KUWERIN,KUWER INDUSTRIES LTD.,Active,X ,10.00,INE430F01010,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
530427,Choksi Imaging Ltd.,CHOKSI,CHOKSI IMAGING LTD.,Active,X ,10.00,INE865B01016,Household Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,
530429,Ashish Polyplast Ltd.,ASHISHPO,ASHISH POLYPLAST LTD.,Active,X ,10.00,INE831C01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
530431,Ador Fontech Ltd,ADORFO,ADOR FONTECH LTD.-$,Active,X ,2.00,INE853A01022,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products,
530433,Shiva Global Agro Industries Limited,SHIVAAGRO,SHIVA GLOBAL AGRO INDUSTRIES LTD.,Active,X ,10.00,INE960E01019,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,
530439,Siddha Ventures Limited,SIDDHA,SIDDHA VENTURES LTD.,Active,X ,10.00,INE140C01012,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530443,Kiran Syntex Ltd.,KIRANSY-B,KIRAN SYNTEX LTD.,Active,XT,10.00,INE293D01017,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
530445,Sumeru Industries Ltd.,SUMERUIND,SUMERU INDUSTRIES LTD.,Active,XT,1.00,INE764B01029,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
530449,Rungta Irrigation Ltd.,RUNGTAIR,RUNGTA IRRIGATION LTD.,Active,XT,10.00,INE347C01013,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
530457,Cinerad Communications Ltd.,CINERAD,CINERAD COMMUNICATIONS LTD.,Active,X ,10.00,INE959B01017,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition",
530459,Valson Industries Ltd.,VALSONQ,VALSON INDUSTRIES LTD.-$,Active,X ,10.00,INE808A01018,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
530461,Saboo Sodium Chloro Ltd.,SABOOSOD,SABOO SODIUM CHLORO LTD.,Active,X ,10.00,INE440C01016,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,
530469,GSL Securities Ltd.,GSLSEC,GSL SECURITIES LTD.,Active,XT,10.00,INE721D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530475,Tinna Rubber and Infrastructure Limited,TINNARUBR,Tinna Rubber and Infrastructure Limited,Active,X ,10.00,INE015C01016,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
530477,Vikram Thermo (India) Ltd.,VIKRAMTH,VIKRAM THERMO (INDIA) LTD.,Active,X ,10.00,INE337E01010,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
530495,STRATMONT INDUSTRIES LIMITED,STRATMONT,Stratmont Industries Ltd,Active,X ,10.00,INE473C01025,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
530499,A.K.Capital Services Ltd.,AKCAPIT,A.K.CAPITAL SERVICES LTD.,Active,X ,10.00,INE701G01012,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530517,Relaxo Footwears Ltd.,RELAXO,RELAXO FOOTWEARS LTD.-$,Active,A ,1.00,INE131B01039,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,
530521,Virat Industries Ltd.,VIRAT,VIRAT INDUSTRIES LTD.,Active,X ,10.00,INE467D01017,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,
530525,Sheetal Diamonds Ltd.,SHEETAL,SHEETAL DIAMONDS LTD.,Active,X ,5.00,INE786J01025,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",
530533,Terai Tea Co. Ltd.,TERAI,TERAI TEA CO.LTD.,Active,X ,10.00,INE390D01011,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,
530537,Manraj Housing Finance Ltd.,MANRAJH,MANRAJ HOUSING FINANCE LTD.,Active,Z ,10.00,INE948I01015,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
530545,Cosco (India) ltd.,COSCO,COSCO (INDIA) LTD.-$,Active,X ,10.00,INE949B01018,Leisure Products,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Leisure Products,
530549,Shilpa Medicare Ltd.,SHILPAMED,SHILPA MEDICARE LTD.,Active,A ,1.00,INE790G01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
530555,Paramount Communications Ltd.,PARACABLES,PARAMOUNT COMMUNICATIONS LTD.-$,Active,T ,2.00,INE074B01023,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,
530557,NCL Research And Financial Services,NCLRESE,NCL RESEARCH & FINANCIAL SERVICES LTD.,Active,X ,1.00,INE132F01038,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530565,Archana Software Ltd.,SSLFINANCE,ARCHANA SOFTWARE LTD.,Active,XT,10.00,INE149B01015,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,
530571,Explicit Finance Limited,EXPLICITFIN,EXPLICIT FINANCE LTD.,Active,X ,10.00,INE335G01019,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
530577,Ladderup Finance Ltd.,LADDERUP,LADDERUP FINANCE LTD.,Active,X ,10.00,INE519D01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530579,U. Y. FINCORP LIMITED,UYFINCORP,U. Y. Fincorp Ltd,Active,X ,5.00,INE152C01025,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530581,Ekam Leasing & Finance Co. Ltd.,EKAMLEA,EKAM LEASING & FINANCE CO.LTD.,Active,XT,5.00,INE906L01025,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
530585,Swastika Investmart Ltd,SWASTIKA,SWASTIKA INVESTMART LTD.,Active,X ,10.00,INE691C01014,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,
530589,Prima Plastics Ltd.,PRIMAPLA,PRIMA PLASTICS LTD.,Active,X ,10.00,INE573B01016,Plastic Products - Consumer,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,
530595,TeleCanor Global Limited,TELECANOR,TELECANOR GLOBAL LTD.,Active,X ,10.00,INE381G01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,
530601,Jagsonpal Finance & Leasing Ltd.,JAGSONFI,JAGSONPAL FINANCE & LEASING LTD.,Active,XT,10.00,INE582C01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530609,Carnation Industries Ltd.,CARNATIN,CARNATION INDUSTRIES LTD.,Active,X ,10.00,INE081B01010,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products,
530611,Sturdy Industries Ltd.,STURDY,STURDY INDUSTRIES LTD.,Active,XT,2.00,INE134F01026,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
530615,Garg Furnace Ltd.,GARGFUR,GARG FURNACE LTD.,Active,XT,10.00,INE194E01015,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,
530617,Sampre Nutritions Ltd.,SAMPRE,SAMPRE NUTRITIONS LTD.,Active,X ,10.00,INE375C01014,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
530621,Akar Auto Industries Limited,AAIL,Akar Auto Industries Ltd,Active,XT,5.00,INE864E01021,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
530627,Vipul Organics Limited,VIPULORG,Vipul Organics Ltd,Active,X ,10.00,INE834D01018,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
530643,Eco Recycling Limited,ECORECO,ECO RECYCLING LTD.,Active,X ,10.00,INE316A01038,Waste Management,Equity,Utilities,Utilities,Other Utilities,Waste Management,
530655,Goodluck India Limited,GOODLUCK,Goodluck India Ltd,Active,B ,2.00,INE127I01024,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,
530663,Goyal Associates Ltd.,GOYALASS,GOYAL ASSOCIATES LTD.,Active,X ,1.00,INE912B01032,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530665,Zenith Health Care Ltd.,ZENITHHE,ZENITH HEALTH CARE LTD.,Active,XT,1.00,INE812B01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
530669,ACE ENGITECH LIMITED,ACEENGITEC,Ace Engitech Ltd,Active,XT,10.00,INE035401012,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,
530675,York Exports Ltd.,YORKEXP,YORK EXPORTS LTD.,Active,XT,10.00,INE057Q01018,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",
530677,Supreme Holdings & Hospitality (India) Ltd,SUPREME,SUPREME HOLDINGS & HOSPITALITY (INDIA) LTD.,Active,X ,10.00,INE822E01011,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
530683,Pithampur Poly Products Ltd.,PITHP,PITHAMPUR POLY PRODUCTS LTD.,Active,P ,10.00,INE747D01012,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
530689,Lykis Limited,LYKISLTD,Lykis Limited,Active,X ,10.00,INE624M01014,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
530695,Prime Property Development Corporation Ltd.,PRIMEPRO,PRIME PROPERTY DEVELOPMENT CORPORATION LTD.-$,Active,X ,5.00,INE233C01023,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
530697,Zenlabs Ethica Limited,ZENLABS,Zenlabs Ethica Ltd,Active,X ,10.00,INE546F01013,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
530699,Raj Rayon Industries Limited,RAJRAYON,Raj Rayon Industries Limited-$,Active,T ,1.00,INE533D01032,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
530705,Flora Textiles Ltd.,FLORATX,FLORA TEXTILES LTD.,Active,P ,10.00,INE161F01011,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
530709,Gowra Leasing & Finance Ltd.,GOWRALE,GOWRA LEASING & FINANCE LTD.,Active,XT,10.00,INE225G01012,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530711,Jagan Lamps Ltd.,JAGANLAM,JAGAN LAMPS LTD.,Active,X ,10.00,INE144C01014,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
530713,AJEL Limited,AJEL,AJEL LTD.,Active,Z ,10.00,INE229B01015,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
530715,Alps Industries Ltd.,ALPSINDUS,ALPS INDUSTRIES LTD.,Active,B ,10.00,INE093B01015,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
530723,Asit C Mehta Financial Services Limited,ASITCFIN,ASIT C.MEHTA FINANCIAL SERVICES LTD.,Active,X ,10.00,INE041B01014,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,
530733,ENCODE PACKAGING INDIA LIMITED,ENCODE,Encode Packaging India Ltd,Active,X ,10.00,INE900O01014,Print Media,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media,
530735,Super Bakers (India) Ltd.,SUPERBAK,SUPER BAKERS (INDIA) LTD.,Active,X ,10.00,INE897A01011,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
530741,Ovobel Foods Ltd.,OVOBELE,OVOBEL FOODS LTD.,Active,XT,10.00,INE812S01012,Meat Products including Poultry,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry,
530747,Indo Asian Finance Limited,INDOASIAF,INDO ASIAN FINANCE LTD.,Active,X ,10.00,INE807A01010,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530755,Coral Newsprints Ltd.,CORNE,CORAL NEWSPRINTS LTD.,Active,XT,10.00,INE715D01019,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,
530759,Sterling Tools Ltd.,STERTOOLS,STERLING TOOLS LTD.-$,Active,B ,2.00,INE334A01023,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
530765,AGARWAL FORTUNE INDIA LIMITED,AGARWAL,Agarwal Fortune India Ltd,Active,XT,10.00,INE510B01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530771,KLG Capital Services Ltd.,KLGCAP,KLG CAPITAL SERVICES LTD.,Active,XT,10.00,INE929C01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530777,Infra Industries Ltd.,INFRAIND,INFRA INDUSTRIES LTD.,Active,Z ,10.00,INE287D01019,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
530779,Dynamic Protfolio Management & Serv,DYNAMICP,DYNAMIC PORTFOLIO MANAGEMENT & SERVICES LTD.,Active,XT,10.00,INE118C01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530787,Inland Printers Ltd.,INLANPR,INLAND PRINTERS LTD.,Active,XT,10.00,INE055O01033,Printing & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication,
530789,Ceejay Finance Limited,CEEJAY,CEEJAY FINANCE LTD.,Active,X ,10.00,INE358C01010,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530795,Suncity Synthetics Ltd.,SUNCITYSY,SUNCITY SYNTHETICS LTD.,Active,XT,10.00,INE584D01019,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
530797,Shree Ganesh Elastoplast Ltd,SHGANEL,SHREE GANESH ELASTOPLAST LTD.,Active,XT,10.00,INE400N01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
530799,Anna Infrastructures Ltd,ANNAINFRA,ANNA INFRASTRUCTURES LTD.,Active,XT,10.00,INE336D01014,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530803,Bhageria Industries Limited,BHAGIL,Bhageria Industries Ltd,Active,B ,5.00,INE354C01027,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,
530805,Onesource Ideas Venture Limited,OIVL,Onesource Ideas Venture Ltd,Active,XT,10.00,INE125F01024,Consulting Services,Equity,Services,Services,Commercial Services & Supplies,Consulting Services,
530809,BNR Udyog Ltd.,BNRUDY,BNR UDYOG LTD.,Active,X ,10.00,INE355C01016,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Equity,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),
530813,KRBL Ltd.,KRBL,KRBL LTD.,Active,A ,1.00,INE001B01026,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,
530815,Refnol Resins & Chemicals Ltd.,REFNOL,REFNOL RESINS & CHEMICALS LTD.,Active,XT,10.00,INE428C01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
530821,SSPDL Limited,SSPDL,SSPDL LTD.-$,Active,X ,10.00,INE838C01011,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
530825,Daikaffil Chemicals India Ltd.,DAIKAFFI,DAIKAFFIL CHEMICALS INDIA LTD.,Active,XT,10.00,INE789B01018,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
530829,Cil Securities Ltd.,CILSEC,CIL SECURITIES LTD.,Active,X ,10.00,INE830A01012,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530839,Clio Infotech Ltd.,CLIOINFO,CLIO INFOTECH LTD.,Active,XT,10.00,INE011B01017,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,
530841,Shri Bholanath Carpets Limited,SHRIBCL,Shri Bholanath Carpets Ltd,Active,ZP,10.00,INE151F01012,Furniture- Home Furnishing,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing",
530843,Cupid Limited,CUPID,CUPID LTD.-$,Active,B ,10.00,INE509F01011,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,
530845,Sunshield Chemicals Ltd.,SUNSHIEL,SUNSHIELD CHEMICALS LTD.,Active,X ,10.00,INE199E01014,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
530853,Hipolin Ltd.,HIPOLIN,HIPOLIN LTD.,Active,X ,10.00,INE963A01011,Household Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,
530855,GDL Leasing & Finance ltd.,GDLLEAS,GDL LEASING & FINANCE LTD.,Active,XT,10.00,INE545E01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530871,Chembond Chemicals Ltd.,CHEMBOND,CHEMBOND CHEMICALS LTD.-$,Active,B ,5.00,INE995D01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
530879,CAPITAL INDIA FINANCE LIMITED,CIFL,Capital India Finance Ltd,Active,X ,10.00,INE345H01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530881,Arunjyoti Bio Ventures Limited ,ABVL,Arunjyoti Bio Ventures Ltd,Active,XT,10.00,INE485K01014,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
530883,Super Crop Safe Ltd.,SUCROSA,SUPER CROP SAFE LTD.,Active,X ,2.00,INE366G01022,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,
530897,N.G.Industries Ltd.,NGIND,N.G.INDUSTRIES LTD.-$,Active,X ,10.00,INE825C01018,Healthcare Service Provider,Equity,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,
530899,Asia Pack Ltd.,ASIAPAK,ASIA PACK LTD.,Active,XT,10.00,INE784M01016,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
530905,Sai Industries Ltd.,SAINDUS,SAI INDUSTRIES LTD.,Active,ZP,10.00,INE213S01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
530907,S.I.Capital And Financial Services,SICAPIT,SI CAPITAL & FINANCIAL SERVICES LTD.,Active,XT,10.00,INE417F01017,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
530909,ERP Soft Systems Ltd.,ERPSOFT,ERP SOFT SYSTEMS LTD.,Active,XT,10.00,INE308B01017,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
530915,"J.R. Foods Limited,",JRFOODS,J.R.FOODS LTD.,Active,XT,10.00,INE989E01018,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,
530917,R.R.Securities Ltd.,RRSECUR,R.R.SECURITIES LTD.,Active,P ,10.00,INE474H01014,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
